"Coup Type","Security","Issue Date","Maturity","ISIN","Next Coupon Date","Coupon Rate (%)","F.V / Unit","Clear Balance (F.V)","Inflow Pending (F.V)","Outflow Pending (F.V)","Available Balance (F.V)","Unit Cost (in Rs.)"
"-","091 DTB 15062023","16-Mar-2023","15-Jun-2023","IN002022X502","","","Rs.","10,000","0","0","10,000","98.3209"
"-","364 DTB 14032024","16-Mar-2023","14-Mar-2024","IN002022Z507","","","Rs.","10,000","0","0","10,000","93.2211"
